영화명,time,ID,text,score,like,dislike,watch_movie,혐오,성별,이념/지역,인간존엄성,기타 (선택),
82년생 김지영,2020-12-29 11:49,mrbi****,쓰레기 영화 돈OO하지마세요,1,3,3,FALSE,0,0,0,0,,15
82년생 김지영,2019-10-28 12:45,드러머(yosh****),이세상의 모든짐은 여자가 혼자 다 짊어지고 산다  남자는 이세상의 모든 혜택을 받으며 살아가고있다  82공지영은 아무 실수나 잘못이 없다  이 나쁜 세상이 그녀를 그렇게 만들었다  여자탓은 하지마라 이사회가 잘못된 것이다 유소년 시절의 성폭력 위험에 노출되기도 쉽고 신고도 못하고 그런 딸에게 아버지마저 이모든게 너의탓이라며 두둔하고 여자를 경시하는 모습을 보인다 부모는 아들에게만 좋은선물을 해주며  한약도 해주고 딸은 아무것도 안해주고 온 사방이 몰카여서 마음놓고 화장실도 가기 어려우며 시어머니는 나쁜년 친정어머니는 착한년의 선입견을 강제로 주입시키며 항상 모든 주부는 집안에서 뼈빠지게 일하는 존재로 나온다  이시대의 가장들은 가정주부보다 쉽게살아가며 커피한잔 흘리니 주변에서 맘충이라 말하는 자들이 나쁜놈으로 묘사된다  현실세계의 진짜 맘충의 더러운 행위는 전혀 보여주지않고 요즘 유행하는 가짜뉴스 처럼 모든것을 거짓으로 똘똘 뭉쳐 놓았다  주인공의 흐느낌이 최고조에 올랐을 때 마침 옆에 앉아있던 여성관객 2명이 연신 눈물을 훔쳤다 옆에있던 나는 열불이 터지며 진짜 쥐어패고 싶었다 자기들이 정말 피해자인줄 착각한다  이성적 판단이 흐리며 감성에 흔들리기 쉬운 여자들에게 남녀갈등 조장과 선동질로   34 너희는 피해자다   34  라는 인식을 심어주고 그렇게 편협한 시각과 이성적 판단을 상실케 한 이 영화에게 별점 대신 벌점을 주고싶다 참으로 피해의식이 쩔대로 쩔어있는 작가도  또한 이걸 좋다고 하는 이들도 모두 꼴페미 수준 이하이며 이런것이 이슈가 된다는것 조차 한심하기 그지없다 마지막으로 이게 책으로 이슈화 되었을때도 영화가 나왔을 때도 아무런 편견없이 있다가 영화한편 보고 뒷통수 맞은것 같아 분노가 치밀어 오르고 돈주고 산 티켓 값이 아까워 매우 화가 난다  이러니까 82김지영이 책으로 많은 욕을 먹은 이유를 깨닫게 되었다  영화가 끝난 후 다행히도 티켓값은 환불받았다 다시한번 말하지만 별점 따위없고 벌점으로 100점 주고 싶은 영화였다,1,11,10,FALSE,1,1,0,1,101,988
82년생 김지영,2019-10-27 9:40,kaz3****,평점9 6 실화냐,1,5,6,FALSE,0,0,0,0,,9
82년생 김지영,2019-10-23 10:30,범쓰(luxb****),아니 90년대생 여자들이 이걸보고 왜 공감을해   60 70이면 모를까  니들은 왜 공감을해  머가 와 닿앗는데,1,5,8,FALSE,0,0,0,0,,62
82년생 김지영,2019-10-23 18:06,BlueBird(kjr1****),와 이런 영화가 허허참,1,4,16,FALSE,0,0,0,0,,12
82년생 김지영,2019-10-24 18:33,로센리엔(kist****),어우 극혐,1,6,17,FALSE,0,0,0,0,,5
82년생 김지영,2019-10-24 21:57,농약먹자(secr****),그딴 쓰레기 책으로 영화 만든 것 자체가 한 쪽으로 쏠린 평이 나올 수 밖에 없지 남녀 불문하고 다같이 힘든데 마치 지들만 힘든일 다 겪은듯이 개소리를 하는 책을 베이스로 만들어서 욕을 먹는건데 여자를 몰라서 하는 소리라고  웃기지 말자,1,10,11,FALSE,0,0,0,0,,132
82년생 김지영,2020-10-11 3:40,최수원 영구제명(qkrc****),너무 억지고 여자의 부당함만 너무 강조하는 느낌임,1,3,8,FALSE,0,0,0,0,,27
82년생 김지영,2019-10-25 22:52,링롱링(hand****),무슨 SF영화도 아니고    어느 누구의 인생도 힘든일만 모아서 만들면 이정도 안나오는사람 있냐,1,8,10,FALSE,0,0,0,0,,53
82년생 김지영,2019-10-23 10:51,모라고요(jang****),10대 시절엔 원조 빠순이로 온갖 사생행위로 사회 이슈 원조교제로 586에게 몸판 세대20대엔 된장녀라는 신조어를 만들 정도로 골빈 행위를 많이함30대엔 맘충으로 진화하여 10대때 아이돌 빨던짓을 정치인에게 옮겨서 달창으로 진화 도대체 80년대 여자에게 무슨 일이 생긴거냐,1,3,5,FALSE,1,1,1,0,,152
82년생 김지영,2021-03-17 17:57,my food(sss3****),지가  같은 남편만난걸 그 시대의 모든 남편이 그럴거라는 망상하는 한 사람의 이야기,1,4,1,FALSE,0,0,0,0,,46
82년생 김지영,2019-10-24 12:55,이현우(wgus****),페미는 여성우월주의 입니다,1,8,16,FALSE,1,1,0,0,,14
82년생 김지영,2019-10-25 17:10,김동현(dall****),본 사람만 평점쓸수있게 해주세요너무 과장되게 평점 싸지르는 인간들이 많아서,1,5,9,FALSE,1,0,0,1, ,41
82년생 김지영,2019-11-07 13:17,Aaa(2468****),도대체 어떤 부분이 공감할부분이라는건지,1,5,7,FALSE,0,0,0,0,,21
82년생 김지영,2019-10-24 16:04,헤롤즈(deva****),어쩌다 있을법한 개인의 안좋은 경험이 누구에게나 있을법한 일처럼 연출되어 남녀갈등을 부추기는 영화,1,13,12,FALSE,0,0,0,0,,54
82년생 김지영,2019-10-28 21:56,kadaja222(badr****),페미코인 극혐,1,9,13,FALSE,1,1,0,0,,7
